100
83	58	3	61	1	60	56	67	23	99	63	63	25	40	88	25	64	35	21	7	18	23	16	98	39	25	1	44	14	67	14	97	26	17	59	27	77	16	95	1	15	58	65	41	99	54	67	63	89	88	70	7	12	87	5	52	12	7	96	26	74	10	24	1	28	84	29	6	0	24	8	16	82	73	57	82	27	24	46	16	13	17	24	25	4	30	77	16	37	74	43	12	85	68	14	13	52	43	20	52	
68	28	68	51	1	26	33	28	51	79	45	64	96	69	90	0	99	67	16	36	42	60	49	27	29	63	41	81	6	61	34	75	89	3	26	91	30	59	19	81	38	64	45	34	34	36	34	33	4	51	70	46	12	20	74	41	83	15	23	90	76	57	65	66	61	91	57	91	50	77	72	89	42	18	23	76	54	58	10	58	10	81	4	22	1	78	64	85	94	87	75	70	45	41	37	6	32	95	97	83	
72	69	73	14	87	96	91	42	55	2	0	65	83	4	88	84	83	52	70	77	40	45	48	85	87	85	91	19	81	88	3	53	58	76	68	46	73	59	88	28	62	88	94	45	93	82	30	77	35	0	55	75	46	3	60	33	89	51	53	70	40	57	24	98	33	92	45	7	52	33	36	14	22	30	60	15	13	90	93	48	91	48	23	37	51	84	70	41	35	24	12	76	81	36	75	15	29	20	23	82	
53	59	96	75	89	56	91	2	47	84	51	38	32	74	76	84	58	47	26	94	71	38	71	53	75	46	68	4	66	91	86	19	50	83	95	40	40	87	43	87	71	94	26	4	68	2	89	27	49	15	22	20	54	93	73	29	39	42	34	5	34	20	25	84	3	21	25	43	8	68	31	79	62	58	84	31	60	73	58	10	89	80	30	43	73	4	73	13	47	7	18	81	27	44	66	31	65	91	75	73	
59	7	53	21	65	37	52	25	11	11	35	0	92	66	43	66	71	17	79	18	24	98	99	51	42	65	83	7	57	58	81	16	65	35	38	30	72	91	56	83	3	92	84	95	59	28	61	30	45	40	49	69	39	48	21	81	14	4	89	72	63	71	88	28	6	27	59	78	18	16	62	22	8	47	17	67	75	79	98	20	20	47	90	59	96	11	40	10	16	30	82	79	1	71	7	7	99	67	86	18	
83	49	40	91	96	57	59	72	37	57	93	57	4	83	16	0	94	57	11	10	87	94	89	89	66	97	96	65	64	83	83	48	32	23	39	29	81	99	2	19	56	95	76	61	78	93	61	73	50	73	84	38	68	74	27	34	71	24	99	36	7	83	84	40	7	24	70	89	24	72	8	80	67	85	42	46	78	4	19	29	77	3	67	45	78	94	80	49	19	80	86	26	63	71	67	71	96	37	60	20	
10	69	1	77	54	44	23	33	48	43	62	25	47	29	71	25	24	51	75	43	31	61	70	95	33	37	66	30	75	27	51	85	96	52	63	50	97	87	83	45	30	45	71	77	75	42	2	0	94	78	44	26	39	14	21	73	52	88	3	28	15	54	14	11	7	77	62	4	65	45	50	96	91	21	73	67	64	76	67	58	54	12	85	94	27	7	68	79	95	72	8	10	26	22	21	34	0	84	39	65	
30	89	61	21	11	35	89	75	12	57	34	67	69	20	62	96	27	30	76	22	2	85	32	29	7	54	63	8	38	3	73	68	93	35	90	5	71	80	81	83	37	15	51	7	36	13	4	63	43	81	85	46	66	18	75	73	73	39	82	11	43	55	80	36	91	71	41	62	51	22	46	89	38	98	96	74	11	1	38	55	82	23	1	48	42	76	22	15	16	4	27	59	60	7	95	52	79	37	15	30	
60	62	20	99	60	16	74	71	18	12	27	0	35	28	49	78	5	71	93	21	76	20	80	36	28	76	89	8	13	4	38	74	66	59	73	26	76	47	98	94	59	25	94	95	53	43	74	58	15	67	80	91	88	60	28	17	36	17	25	50	21	64	24	88	23	98	14	99	45	13	93	5	38	88	1	92	32	75	51	47	43	31	38	31	92	67	49	28	84	74	78	6	39	3	94	63	1	8	62	47	
22	56	53	60	45	55	53	77	31	4	24	74	36	63	6	28	30	55	56	15	30	35	21	70	39	15	33	41	24	96	88	46	53	42	6	98	97	60	76	28	64	1	3	1	65	9	29	95	65	86	11	96	22	32	66	61	47	0	2	71	96	91	18	50	33	25	48	31	85	25	60	50	26	63	51	91	73	81	87	39	67	98	35	90	30	2	51	78	3	54	50	99	46	68	50	80	93	99	11	78	
